09:55:21.799 [main] INFO  StdSchedulerFactory - Using default implementation for ThreadExecutor
10:44:51.962 [main] INFO  GhostFileCleanupJob - [2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, 3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, 3a28a9d1-301e-491d-a123-590c3a015f5b.gif, 70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, 92533e30-aab4-4934-ac20-f35bd608b151.jpg, ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, b217ac4c-6b50-4255-ba08-744bc3956991.bmp, b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, t_2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, t_3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, t_3a28a9d1-301e-491d-a123-590c3a015f5b.gif, t_70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, t_92533e30-aab4-4934-ac20-f35bd608b151.jpg, t_ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, t_b217ac4c-6b50-4255-ba08-744bc3956991.bmp, t_b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, t_e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif]
10:44:51.962 [main] INFO  GhostFileCleanupJob - [a.txt]
10:47:56.890 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
10:47:56.894 [main] INFO  GhostFileCleanupJob - [2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, 3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, 3a28a9d1-301e-491d-a123-590c3a015f5b.gif, 70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, 92533e30-aab4-4934-ac20-f35bd608b151.jpg, ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, b217ac4c-6b50-4255-ba08-744bc3956991.bmp, b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, t_2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, t_3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, t_3a28a9d1-301e-491d-a123-590c3a015f5b.gif, t_70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, t_92533e30-aab4-4934-ac20-f35bd608b151.jpg, t_ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, t_b217ac4c-6b50-4255-ba08-744bc3956991.bmp, t_b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, t_e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif]
10:47:56.895 [main] INFO  GhostFileCleanupJob - [a.txt]
10:47:56.895 [main] INFO  GhostFileCleanupJob - [b.txt]
10:59:53.790 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
10:59:53.792 [main] INFO  GhostFileCleanupJob - [2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, 3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, 3a28a9d1-301e-491d-a123-590c3a015f5b.gif, 70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, 92533e30-aab4-4934-ac20-f35bd608b151.jpg, ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, b217ac4c-6b50-4255-ba08-744bc3956991.bmp, b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, t_2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, t_3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, t_3a28a9d1-301e-491d-a123-590c3a015f5b.gif, t_70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, t_92533e30-aab4-4934-ac20-f35bd608b151.jpg, t_ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, t_b217ac4c-6b50-4255-ba08-744bc3956991.bmp, t_b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, t_e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif]
10:59:53.793 [main] INFO  GhostFileCleanupJob - [a.txt]
10:59:53.793 [main] INFO  GhostFileCleanupJob - [10\a.txt, b.txt]
11:01:03.899 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
11:01:03.901 [main] INFO  GhostFileCleanupJob - [d:\upload\files\2025\06\30\2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, d:\upload\files\2025\06\30\3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, d:\upload\files\2025\06\30\3a28a9d1-301e-491d-a123-590c3a015f5b.gif, d:\upload\files\2025\06\30\70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, d:\upload\files\2025\06\30\92533e30-aab4-4934-ac20-f35bd608b151.jpg, d:\upload\files\2025\06\30\ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, d:\upload\files\2025\06\30\b217ac4c-6b50-4255-ba08-744bc3956991.bmp, d:\upload\files\2025\06\30\b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, d:\upload\files\2025\06\30\e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, d:\upload\files\2025\06\30\t_2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, d:\upload\files\2025\06\30\t_3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, d:\upload\files\2025\06\30\t_3a28a9d1-301e-491d-a123-590c3a015f5b.gif, d:\upload\files\2025\06\30\t_70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, d:\upload\files\2025\06\30\t_92533e30-aab4-4934-ac20-f35bd608b151.jpg, d:\upload\files\2025\06\30\t_ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, d:\upload\files\2025\06\30\t_b217ac4c-6b50-4255-ba08-744bc3956991.bmp, d:\upload\files\2025\06\30\t_b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, d:\upload\files\2025\06\30\t_e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif]
11:01:03.902 [main] INFO  GhostFileCleanupJob - [a.txt]
11:01:03.902 [main] INFO  GhostFileCleanupJob - [b.txt]
11:13:35.823 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
11:14:18.384 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
11:20:13.206 [main] INFO  GhostFileCleanupJob - d:\upload\files\2025\06\30 true
11:20:13.806 [main] INFO  sqltiming - select * from tbl_attach ta where path = DATE_FORMAT(DATE_SUB(now(), INTERVAL 1 DAY), '%Y/%m/%d')
 {executed in 9 msec}
11:20:13.834 [main] INFO  GhostFileCleanupJob - [d:\upload\files\2025\06\30\92533e30-aab4-4934-ac20-f35bd608b151.jpg, d:\upload\files\2025\06\30\e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, d:\upload\files\2025\06\30\t_2ce8ab93-925d-4266-a2c8-c78094c8cde8.png, d:\upload\files\2025\06\30\t_3024f3c7-ca65-4d5f-b8b6-cd1c309ee468.gif, d:\upload\files\2025\06\30\t_3a28a9d1-301e-491d-a123-590c3a015f5b.gif, d:\upload\files\2025\06\30\t_70e41766-e25e-4ec2-b61b-b2e92fd160c9.jpg, d:\upload\files\2025\06\30\t_87362583-b323-4a34-a5fb-928c999f8b46.gif, d:\upload\files\2025\06\30\t_92533e30-aab4-4934-ac20-f35bd608b151.jpg, d:\upload\files\2025\06\30\t_ad4fd0a6-9e96-4caf-9e3d-4baf4c7c03a9.png, d:\upload\files\2025\06\30\t_b217ac4c-6b50-4255-ba08-744bc3956991.bmp, d:\upload\files\2025\06\30\t_b6ccb019-81fb-4b4a-80c1-258eaf7d04f4.jpg, d:\upload\files\2025\06\30\t_d53d3d4f-355c-4b7c-afb9-9742386581ff.jpg, d:\upload\files\2025\06\30\t_e839ad0a-4389-46a0-8acc-e33133ea7d7d.gif, d:\upload\files\2025\06\30\t_e8a62163-15da-4b88-b6a7-2f82bc4b1bfb.bmp]
11:43:58.661 [main] INFO  sqltiming - select * from tbl_attach ta where path = DATE_FORMAT(DATE_SUB(now(), INTERVAL 1 DAY), '%Y/%m/%d')
 {executed in 6 msec}
